campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men Comfortmax Launch,Adset-2 LAL2,2025-02-21,463.21,200487,4323.0,0.0216,107,3193.16,6.89,UGC,Breathable modal that moves with you — limited offer on men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-02-22,616.02,455699,6865.0,0.0151,191,4865.6,7.9,Carousel,Seamless confidence for every day — new men inner vests.,Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-23,743.65,332832,6329.0,0.019,131,4889.87,6.58,Image,"All‑day comfort, zero pinch — try our men briefs!",Lookalike,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-02-24,199.53,132672,2181.0,0.0164,64,1579.22,7.91,Image,Summer‑ready essentials — sweat‑wicking men boxers.,Broad,Facebook,UK
Men Comfo tmax Launch,Adset-2 LAL2,2025-02-25,278.08,313219,6972.0,0.0223,153,6758.64,24.3,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-02-26,241.59,404924,4608.0,0.0114,120,2710.02,11.22,Video,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Retargeting,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-02-27,294.19,325509,5337.0,0.0164,151,2867.51,9.75,Video,Invisible under tees — seamless men briefs.,Retargeting,Facebook,IN
Men_Com-ortMax_Launch,Adset-2 LAL2,2025-02-28,591.06,253112,4251.0,0.0168,109,3684.7,6.23,Image,Doctors recommend breathable bamboo — meet our men boxers.,Broad,Facebook,IN
men comfortmax launch,Adset-2 LAL2,2025-03-01,277.11,281834,2617.0,0.0093,74,1963.68,7.09,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Broad,Instagram,IN
men comfortmax launch,Adset-2 LAL2,2025-03-02,34.93,513208,9684.0,0.0189,330,9991.73,286.05,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Retargeting,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-03,119.22,168428,4441.0,0.0264,120,5302.52,44.48,Video,Breathable microfiber that moves with you — limited offer on men boxers.,Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-04,662.15,237425,4192.0,0.0177,103,3780.19,5.71,Carousel,"All‑day comfort, zero pinch — try our men boxers!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-05,613.44,27436,,0.0257,27,643.23,1.05,UGC,Seamless confidence for every day — new men athletic briefs.,Retargeting,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-06,419.7,66149,1320.0,0.0199,30,999.28,2.38,Image,Stretch that snaps back — durable men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-07,498.82,422385,6387.0,0.0151,146,5851.9,11.73,Carousel,"Push comfort, not wires — everyday men inner vests.",Broad,Instagram,IN
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-08,307.34,14925,193.0,0.0129,3,86.09,0.28,Video,Seamless confidence for every day — new men briefs.,Lookalike,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-03-09,310.71,127452,2774.0,0.0218,83,2882.28,9.28,Image,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-03-10,304.0,450573,2056.0,0.0046,71,1327.16,4.37,Video,Cooling mesh panels for workouts — men trunks you’ll actually love.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-2 LAL2,2025-03-11,695.93,320815,3141.0,0.0098,85,3722.93,5.35,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-2 LAL2,2025-03-12,184.69,15841,335.0,0.0211,8,196.59,1.06,Video,Seamless confidence for every day — new men athletic briefs.,Lookalike,Facebook,US
Men  Co fortMax  Launch,Adset-2 LAL2,2025-03-13,336.69,142442,1546.0,0.0109,29,1150.77,3.42,Video,Summer‑ready essentials — sweat‑wicking men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-14,214.71,375804,6066.0,0.0161,115,2632.47,12.26,Image,No ride‑up guarantee — best‑selling men boxers back in stock.,Retargeting,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-15,753.7,300194,2874.0,0.0096,66,2624.28,3.48,Video,Hot & comfy: men athletic briefs now 20% off — feel the difference.,Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-16,97.95,495312,11286.0,0.0228,381,9204.26,93.97,Carousel,Stretch that snaps back — durable men briefs.,Retargeting,Facebook,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-17,841.29,132330,1628.0,0.0123,46,1657.1,1.97,UGC,Doctors recommend breathable microfiber — meet our men inner vests.,Retargeting,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-18,831.46,309997,5689.0,0.0184,119,2838.38,3.41,UGC,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Instagram,US
Men ComfortMax Launch,Adset-2 LAL2,2025-03-19,429.33,210580,2560.0,0.0122,59,2635.54,6.14,Video,Breathable organic cotton that moves with you — limited offer on men athletic briefs.,Broad,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-20,720.09,229525,4101.0,0.0179,124,2661.86,3.7,Carousel,"Wire‑free ease, cloud‑soft cups — men briefs that fits right.",Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-21,194.34,52345,730.0,0.0139,15,361.8,1.86,Carousel,Breathable modal that moves with you — limited offer on men boxers.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-2 LAL2,2025-03-22,118.01,46347,674.0,0.0145,18,751.72,6.37,Carousel,"Push comfort, not wires — everyday men briefs.",Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-23,417.43,517022,10391.0,0.0201,333,10176.66,24.38,Video,Cooling mesh panels for workouts — men inner vests you’ll actually love.,Lookalike,Instagram,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-24,472.82,498473,5068.0,0.0102,98,2295.67,4.86,Video,"All‑day comfort, zero pinch — try our men trunks!",Broad,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-25,816.81,188566,3518.0,0.0187,101,4346.41,5.32,Image,"Wire‑free ease, cloud‑soft cups — men trunks that fits right.",Broad,Facebook,US
Men Comfortmax Launch,Adset-2 LAL2,2025-03-26,365.89,516181,8699.0,0.0169,0,0.0,0.0,Carousel,Confidence starts inside — elevate with men briefs.,Lookalike,Instagram,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-27,143.94,409270,6394.0,0.0156,130,2647.63,18.39,UGC,"Push comfort, not wires — everyday men athletic briefs.",Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-28,643.65,167206,2392.0,0.0143,32,1094.91,1.7,Image,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-29,892.68,117923,985.0,0.0084,25,706.92,0.79,Video,"All‑day comfort, zero pinch — try our men trunks!",Broad,Instagram,US
MEN COMFORTMAX LAUNCH,Adset-2 LAL2,2025-03-30,650.63,421410,6702.0,0.0159,190,3835.12,5.89,Video,Stretch that snaps back — durable men trunks.,Lookalike,Facebook,US
men comfortmax launch,Adset-2 LAL2,2025-03-31,528.75,337613,5212.0,0.0154,126,4330.47,8.19,UGC,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-01,243.03,214520,2968.0,0.0138,54,1009.63,4.15,Image,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Instagram,UK
Men Comfortmax Launch,Adset-3 ATC,2025-01-02,396.11,235271,3950.0,0.0168,68,2361.56,5.96,UGC,No ride‑up guarantee — best‑selling men trunks back in stock.,Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-03,148.12,43165,,0.0176,23,,3.04,Carousel,Stretch that snaps back — durable men inner vests.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-3 ATC,2025-01-04,328.78,363617,4712.0,0.013,110,4397.49,13.38,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-05,304.44,279737,3676.0,0.0131,86,2592.4,8.52,Carousel,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-06,289.23,384676,5408.0,0.0141,113,2092.56,7.23,Carousel,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Broad,Facebook,US
Men Comfortmax Launch,Adset-3 ATC,2025-01-07,484.24,283937,3212.0,0.0113,76,2300.38,4.75,Video,Stretch that snaps back — durable men athletic briefs.,Lookalike,Instagram,IN
men comfortmax launch,Adset-3 ATC,2025-01-08,442.71,253817,3748.0,0.0148,64,1945.92,4.4,Video,Confidence starts inside — elevate with men trunks.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-09,599.97,497310,7908.0,0.0159,226,8267.0,13.78,Image,Stretch that snaps back — durable men inner vests.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-10,96.65,470095,6339.0,0.0135,214,7661.75,79.27,Video,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Broad,Facebook,IN
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-11,,45859,580.0,0.0127,0,445.62,,UGC,"All‑day comfort, zero pinch — try our men trunks!",Broad,Instagram,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-12,415.43,48618,,0.0159,13,356.75,0.86,Carousel,Seamless confidence for every day — new men boxers.,Lookalike,Facebook,IN
Men Comfortmax Launch,Adset-3 ATC,2025-01-13,683.11,106079,1886.0,0.0178,51,1282.97,1.88,Video,Seamless confidence for every day — new men briefs.,Broad,Facebook,IN
Men  CofortMax  Launch,Adset-3 ATC,2025-01-14,241.81,73664,1707.0,0.0232,51,1804.66,7.46,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Lookalike,Facebook,US
Men ComfortMax Launch,Adset-3 ATC,2025-01-15,158.12,503992,8061.0,0.016,226,10047.78,63.55,Carousel,Breathable cotton that moves with you — limited offer on men athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-16,628.64,345491,7762.0,0.0225,170,7319.9,11.64,Carousel,"All‑day comfort, zero pinch — try our men trunks!",Lookalike,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-17,339.07,231495,,0.0209,0,3868.21,11.41,Video,Breathable bamboo that moves with you — limited offer on men inner vests.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-3 ATC,2025-01-18,892.01,157240,1841.0,0.0117,43,1650.6,1.85,Video,Invisible under tees — seamless men trunks.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-3 ATC,2025-01-19,917.86,406435,4546.0,0.0112,119,5305.74,5.78,Carousel,Invisible under tees — seamless men briefs.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-3 ATC,2025-01-20,729.59,120463,2173.0,0.018,64,2418.28,3.31,Carousel,Invisible under tees — seamless men boxers.,Broad,Facebook,US
